date,epu_index,GC=F,^NDX
2020-01-02,139.13,,
2020-01-03,108.1,,
2020-01-06,147.96,,
2020-01-07,103.98,,
2020-01-08,91.15,,
2020-01-09,71.92,,
2020-01-10,74.58,,
2020-01-13,124.82,,
2020-01-14,109.27,,
2020-01-15,98.77,,
2020-01-16,88.05,,
2020-01-17,77.76,,
2020-01-21,87.56,,
2020-01-22,77.19,,
2020-01-23,70.67,,
2020-01-24,48.48,,
2020-01-27,22.25,,
2020-01-28,94.68,,
2020-01-29,88.62,,
2020-01-30,142.05,,
2020-01-31,122.2,,
2020-02-03,124.15,,
2020-02-04,111.96,,
2020-02-05,84.94,,
2020-02-06,81.75,,
2020-02-07,130.27,,
2020-02-10,111.39,,
2020-02-11,152.71,,
2020-02-12,79.26,,
2020-02-13,82.23,,
2020-02-14,71.98,,
2020-02-18,77.38,,
2020-02-19,56.47,,
2020-02-20,103.7,,
2020-02-21,106.59,,
2020-02-24,88.73,,
2020-02-25,147.84,,
2020-02-26,97.49,,
2020-02-27,106.55,,
2020-02-28,172.45,,
2020-03-02,153.53,,
2020-03-03,132.55,,
2020-03-04,197.2,,
2020-03-05,118.02,,
2020-03-06,132.5,,
2020-03-09,276.24,,
2020-03-10,296.12,,
2020-03-11,234.73,,
2020-03-12,187.08,,
2020-03-13,330.85,,
2020-03-16,323.71,,
2020-03-17,378.92,,
2020-03-18,455.45,,
2020-03-19,514.67,,
2020-03-20,633.51,,
2020-03-23,572.94,,
2020-03-24,596.78,,
2020-03-25,449.86,,
2020-03-26,670.3,,
2020-03-27,557.18,,
2020-03-30,361.46,,
2020-03-31,516.55,,
2020-04-01,474.81,,
2020-04-02,738.02,,
2020-04-03,540.5,,
2020-04-06,605.38,,
2020-04-07,468.08,,
2020-04-08,524.13,,
2020-04-09,417.54,,
2020-04-13,638.81,,
2020-04-14,441.32,,
2020-04-15,455.68,,
2020-04-16,505.52,,
2020-04-17,573.7,,
2020-04-20,618.66,,
2020-04-21,599.13,,
2020-04-22,511.42,,
2020-04-23,505.54,,
2020-04-24,562.5,,
2020-04-27,642.66,,
2020-04-28,479.89,,
2020-04-29,439.11,,
2020-04-30,440.07,,
2020-05-01,516.72,,
2020-05-04,449.38,,
2020-05-05,807.66,,
2020-05-06,498.71,,
2020-05-07,504.24,,
2020-05-08,488.53,,
2020-05-11,527.36,,
2020-05-12,442.15,,
2020-05-13,553.21,,
2020-05-14,508.02,,
2020-05-15,374.22,,
2020-05-18,511.62,,
2020-05-19,363.66,,
2020-05-20,420.68,,
2020-05-21,361.11,,
2020-05-22,418.96,,
2020-05-26,389.21,,
2020-05-27,355.1,,
2020-05-28,421.99,,
2020-05-29,426.28,,
2020-06-01,226.8,,
2020-06-02,257.49,,
2020-06-03,287.17,,
2020-06-04,231.24,,
2020-06-05,235.07,,
2020-06-08,318.64,,
2020-06-09,191.32,,
2020-06-10,237.88,,
2020-06-11,317.86,,
2020-06-12,293.12,,
2020-06-15,300.34,,
2020-06-16,319.69,,
2020-06-17,348.4,,
2020-06-18,322.96,,
2020-06-19,450.64,,
2020-06-22,259.55,,
2020-06-23,309.15,,
2020-06-24,224.4,,
2020-06-25,225.72,,
2020-06-26,260.33,,
2020-06-29,301.58,,
2020-06-30,292.37,,
2020-07-01,329.62,,
2020-07-02,249.7,,
2020-07-06,389.2,,
2020-07-07,278.61,,
2020-07-08,319.33,,
2020-07-09,267.49,,
2020-07-10,259.27,,
2020-07-13,212.54,,
2020-07-14,308.28,,
2020-07-15,352.74,,
2020-07-16,313.71,,
2020-07-17,555.06,,
2020-07-20,430.14,,
2020-07-21,423.52,,
2020-07-22,297.02,,
2020-07-23,282.1,,
2020-07-24,290.25,,
2020-07-27,521.96,,
2020-07-28,315.73,,
2020-07-29,370.27,,
2020-07-30,307.77,,
2020-07-31,384.08,,
2020-08-03,271.04,,
2020-08-04,391.33,,
2020-08-05,253.99,,
2020-08-06,285.63,,
2020-08-07,276.7,,
2020-08-10,388.62,,
2020-08-11,359.14,,
2020-08-12,202.2,,
2020-08-13,282.72,,
2020-08-14,345.8,,
2020-08-17,350.55,,
2020-08-18,341.68,,
2020-08-19,216.18,,
2020-08-20,250.25,,
2020-08-21,286.03,,
2020-08-24,186.9,,
2020-08-25,213.68,,
2020-08-26,154.27,,
2020-08-27,180.61,,
2020-08-28,296.28,,
2020-08-31,169.1,,
2020-09-01,204.69,,
2020-09-02,237.83,,
2020-09-03,243.52,,
2020-09-04,224.01,,
2020-09-08,208.78,,
2020-09-09,209.54,,
2020-09-10,218.1,,
2020-09-11,237.03,,
2020-09-14,270.62,,
2020-09-15,245.27,,
2020-09-16,244.64,,
2020-09-17,248.91,,
2020-09-18,244.41,,
